Symbol,Security Name,Exchange,ETF
APPF,"AppFolio, Inc. - Class A Common Stock",NASDAQ,N
APPN,Appian Corporation - Class A Common Stock,NASDAQ,N
APPS,"Digital Turbine, Inc. - Common Stock",NASDAQ,N
APRE,"Aprea Therapeutics, Inc. - Common Stock",NASDAQ,N
APVO,Aptevo Therapeutics Inc. - Common Stock,NASDAQ,N
APYX,Apyx Medical Corporation - Common Stock,NASDAQ,N
AQB,"AquaBounty Technologies, Inc. - Common Stock",NASDAQ,N
AQMS,"Aqua Metals, Inc. - Common Stock",NASDAQ,N
AQST,"Aquestive Therapeutics, Inc. - Common Stock",NASDAQ,N
AR,Antero Resources Corporation Common Stock,NYSE,N
ARAI,Arrive AI Inc. - Common Stock,NASDAQ,N
ARAY,Accuray Incorporated - Common Stock,NASDAQ,N
ARCB,ArcBest Corporation - Common Stock,NASDAQ,N
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock,NASDAQ,N
ARDT,"Ardent Health, Inc. Common Stock",NYSE,N
ARDX,"Ardelyx, Inc. - Common Stock",NASDAQ,N
ARE,"Alexandria Real Estate Equities, Inc. Common Stock",NYSE,N
AREC,American Resources Corporation - Class A Common Stock,NASDAQ,N
ARES,Ares Management Corporation Class A Common Stock,NYSE,N
ARHS,"Arhaus, Inc. - Class A Common Stock",NASDAQ,N
ARKO,ARKO Corp. - Common Stock,NASDAQ,N
ARKR,Ark Restaurants Corp. - Common Stock,NASDAQ,N
ARL,"American Realty Investors, Inc. Common Stock",NYSE,N
ARLO,"Arlo Technologies, Inc. Common Stock",NYSE,N
ARMK,Aramark Common Stock,NYSE,N
AROC,"Archrock, Inc. Common Stock",NYSE,N
AROW,Arrow Financial Corporation - Common Stock,NASDAQ,N
ARQ,"Arq, Inc. - Common Stock",NASDAQ,N
ARQT,"Arcutis Biotherapeutics, Inc. - Common stock",NASDAQ,N
ARRY,"Array Technologies, Inc. - Common Stock",NASDAQ,N
ARTL,"Artelo Biosciences, Inc. - Common Stock",NASDAQ,N
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock,NASDAQ,N
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",NASDAQ,N
ARTW,"Art's-Way Manufacturing Co., Inc. - Common Stock",NASDAQ,N
ARVN,"Arvinas, Inc. - Common Stock",NASDAQ,N
ARW,"Arrow Electronics, Inc. Common Stock",NYSE,N
ARWR,"Arrowhead Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ARXS,"Arxis, Inc. - Class A Common Stock",NASDAQ,N
ASAN,"Asana, Inc. Class A Common Stock",NYSE,N
ASB,Associated Banc-Corp Common Stock,NYSE,N
ASBP,"Aspire Biopharma Holdings, Inc.  - Common Stock",NASDAQ,N
ASC,Ardmore Shipping Corporation Common Stock,NYSE,N
ASH,Ashland Inc. Common Stock,NYSE,N
ASIC,Ategrity Specialty Insurance Company Holdings Common Stock,NYSE,N
ASIX,AdvanSix Inc. Common Stock ,NYSE,N
ASLE,AerSale Corporation - Common Stock,NASDAQ,N
ASMB,"Assembly Biosciences, Inc. - Common Stock",NASDAQ,N
ASO,"Academy Sports and Outdoors, Inc. - Common Stock",NASDAQ,N
ASPI,ASP Isotopes Inc. - Common Stock,NASDAQ,N
ASPN,"Aspen Aerogels, Inc. Common Stock",NYSE,N
ASPS,Altisource Portfolio Solutions S.A. - Common Stock,NASDAQ,N
ASR,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",NYSE,N
ASRV,AmeriServ Financial Inc. - Common Stock,NASDAQ,N
ASST,"Strive, Inc. - Class A Common Stock",NASDAQ,N
ASTC,Astrotech Corporation - Common Stock,NASDAQ,N
ASTE,"Astec Industries, Inc. - Common Stock",NASDAQ,N
ASTH,Astrana Health Inc. - Common Stock,NASDAQ,N
ASTI,"Ascent Solar Technologies, Inc - Common Stock",NASDAQ,N
ASTS,"AST SpaceMobile, Inc. - Class A Common Stock",NASDAQ,N
ASUR,Asure Software Inc - Common Stock,NASDAQ,N
ASYS,"Amtech Systems, Inc. - Common Stock",NASDAQ,N
ATAI,AtaiBeckley Inc. - Common Stock,NASDAQ,N
ATCX,Atlas Critical Minerals Corporation - Common Stock,NASDAQ,N
ATEC,"Alphatec Holdings, Inc. - Common Stock",NASDAQ,N
ATEN,"A10 Networks, Inc. Common Stock",NYSE,N
ATER,"Aterian, Inc. - Common Stock",NASDAQ,N
ATEX,Anterix Inc. - Common Stock,NASDAQ,N
ATHR,"Aether Holdings, Inc. - Common Stock",NASDAQ,N
ATI,ATI Inc. Common Stock,NYSE,N
ATKR,Atkore Inc. Common Stock,NYSE,N
ATLC,Atlanticus Holdings Corporation - Common Stock,NASDAQ,N
ATLO,Ames National Corporation - Common Stock,NASDAQ,N
ATLX,Atlas Lithium Corporation - Common Stock,NASDAQ,N
ATMU,Atmus Filtration Technologies Inc. Common Stock,NYSE,N
ATNI,"ATN International, Inc. - Common Stock",NASDAQ,N
ATO,Atmos Energy Corporation Common Stock,NYSE,N
ATOM,Atomera Incorporated - Common Stock,NASDAQ,N
ATOS,"Atossa Therapeutics, Inc. - Common Stock",NASDAQ,N
ATPC,Agape ATP Corporation - Common Stock,NASDAQ,N
ATR,"AptarGroup, Inc. Common Stock",NYSE,N
ATRA,"Atara Biotherapeutics, Inc. - Common Stock",NASDAQ,N
ATRC,"AtriCure, Inc. - Common Stock",NASDAQ,N
ATRO,Astronics Corporation - Common Stock,NASDAQ,N
ATXG,Addentax Group Corp. - Common Stock,NASDAQ,N
ATYR,"aTyr Pharma, Inc. - Common Stock",NASDAQ,N
AUB,Atlantic Union Bankshares Corporation Common Stock,NYSE,N
AUBN,"Auburn National Bancorporation, Inc. - Common Stock",NASDAQ,N
AUID,authID Inc. - Common Stock,NASDAQ,N
AUR,"Aurora Innovation, Inc.  - Class A Common Stock",NASDAQ,N
AURA,"Aura Biosciences, Inc. - Common Stock",NASDAQ,N
AUUD,Auddia Inc. - Common Stock,NASDAQ,N
AVA,Avista Corporation Common Stock,NYSE,N
AVAH,Aveanna Healthcare Holdings Inc. - Common Stock,NASDAQ,N
AVAT,Avalanche Treasury Corporation - Class A Common Stock,NASDAQ,N
AVAV,"AeroVironment, Inc. - Common Stock",NASDAQ,N
AVB,"AvalonBay Communities, Inc. Common Stock",NYSE,N
AVBC,"Avidia Bancorp, Inc. Common Stock",NYSE,N
AVBH,"Avidbank Holdings, Inc. - Common Stock",NASDAQ,N
AVBP,"ArriVent BioPharma, Inc. - Common Stock",NASDAQ,N
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),NYSE,N
AVEX,AEVEX Corp. Class A Common Stock,NYSE,N
AVGO,Broadcom Inc. - Common Stock,NASDAQ,N
AVIR,"Atea Pharmaceuticals, Inc. - common stock",NASDAQ,N
AVLN,Avalyn Pharma Inc. - common stock,NASDAQ,N
AVNS,"Avanos Medical, Inc. Common Stock",NYSE,N
AVNT,Avient Corporation Common Stock,NYSE,N
AVNW,"Aviat Networks, Inc. - Common Stock",NASDAQ,N
AVO,"Mission Produce, Inc. - Common Stock",NASDAQ,N
AVPT,"AvePoint, Inc. - Class A Common Stock",NASDAQ,N
AVR,Anteris Technologies Global Corp. - Common Stock,NASDAQ,N
AVT,"Avnet, Inc. - Common Stock",NASDAQ,N
AVTR,"Avantor, Inc. Common Stock",NYSE,N
AVTX,"Avalo Therapeutics, Inc. - Common Stock",NASDAQ,N
AVXL,Anavex Life Sciences Corp. - Common Stock,NASDAQ,N
AVY,Avery Dennison Corporation Common Stock,NYSE,N
AWI,Armstrong World Industries Inc Common Stock,NYSE,N
AWK,"American Water Works Company, Inc. Common Stock",NYSE,N
AWR,American States Water Company Common Stock,NYSE,N
AWRE,"Aware, Inc. - Common Stock",NASDAQ,N
AX,"Axos Financial, Inc. Common Stock",NYSE,N
AXGN,"Axogen, Inc. - Common Stock",NASDAQ,N
AXON,"Axon Enterprise, Inc. - Common Stock",NASDAQ,N
AXP,American Express Company Common Stock,NYSE,N
AXR,AMREP Corporation Common Stock,NYSE,N
AXS,Axis Capital Holdings Limited Common Stock,NYSE,N
AXSM,"Axsome Therapeutics, Inc. - Common Stock",NASDAQ,N
AXTI,AXT Inc - Common Stock,NASDAQ,N
AYI,Acuity Inc. Common Stock,NYSE,N
AYTU,"Aytu BioPharma, Inc.  - Common Stock",NASDAQ,N
AZO,"AutoZone, Inc. Common Stock",NYSE,N
AZTA,"Azenta, Inc. - Common Stock",NASDAQ,N
BA,Boeing Company (The) Common Stock,NYSE,N
BAC,Bank of America Corporation Common Stock,NYSE,N
BAER,"Bridger Aerospace Group Holdings, Inc. - Common Stock",NASDAQ,N
BAFN,BayFirst Financial Corp. - Common Stock,NASDAQ,N
BAH,Booz Allen Hamilton Holding Corporation Common Stock,NYSE,N
BALL,Ball Corporation Common Stock,NYSE,N
BALY,Bally's Corporation Common Stock,NYSE,N
BANC,"Banc of California, Inc. Common Stock",NYSE,N
BAND,Bandwidth Inc. - Class A Common Stock,NASDAQ,N
BANF,BancFirst Corporation - Common Stock,NASDAQ,N
BANR,Banner Corporation - Common Stock,NASDAQ,N
BAP,Credicorp Ltd. Common Stock,NYSE,N
BARK,"BARK, Inc. Class A Common Stock",NYSE,N
BATRA,"Atlanta Braves Holdings, Inc. - Series A Common Stock",NASDAQ,N
BATRK,"Atlanta Braves Holdings, Inc. - Series C Common Stock",NASDAQ,N
BAX,Baxter International Inc. Common Stock,NYSE,N
BB,BlackBerry Limited Common Stock,NYSE,N
BBAI,"BigBear.ai, Inc. Common Stock",NYSE,N
